RESULTADOS DEL MODELO: RandomForest (TestData: simple_data)
======================================================================
Accuracy General: 0.7204

Matriz de Confusión:
[[ 862  269  135]
 [ 217 1094  295]
 [  57  113  842]]

Informe de Clasificación (Precision, Recall, F1-Score):
                precision    recall  f1-score   support

FALSE POSITIVE       0.76      0.68      0.72      1266
CANDIDATE (PC)       0.74      0.68      0.71      1606
CONFIRMED (CP)       0.66      0.83      0.74      1012

      accuracy                           0.72      3884
     macro avg       0.72      0.73      0.72      3884
  weighted avg       0.73      0.72      0.72      3884

======================================================================
Predicciones individuales:

1 CONFIRMED (CP) 95.07%
2 CONFIRMED (CP) 86.85%
3 FALSE POSITIVE 99.52%
4 CANDIDATE (PC) 58.80%
5 FALSE POSITIVE 66.64%
6 CANDIDATE (PC) 64.94%
7 CANDIDATE (PC) 61.51%
8 CANDIDATE (PC) 68.17%
9 FALSE POSITIVE 62.99%
10 CANDIDATE (PC) 51.04%
11 CANDIDATE (PC) 46.08%
12 FALSE POSITIVE 99.10%
13 CANDIDATE (PC) 79.76%
14 CONFIRMED (CP) 45.06%
15 FALSE POSITIVE 98.04%
16 CANDIDATE (PC) 85.38%
17 FALSE POSITIVE 88.51%
18 CANDIDATE (PC) 48.83%
19 CONFIRMED (CP) 93.16%
20 CONFIRMED (CP) 61.80%
21 FALSE POSITIVE 91.93%
22 CANDIDATE (PC) 45.21%
23 CONFIRMED (CP) 69.34%
24 FALSE POSITIVE 37.13%
25 CANDIDATE (PC) 96.92%
26 CONFIRMED (CP) 77.18%
27 FALSE POSITIVE 99.11%
28 CONFIRMED (CP) 61.05%
29 CONFIRMED (CP) 52.49%
30 CANDIDATE (PC) 69.68%
31 CANDIDATE (PC) 47.75%
32 FALSE POSITIVE 65.52%
33 FALSE POSITIVE 52.84%
34 FALSE POSITIVE 99.59%
35 CANDIDATE (PC) 74.98%
36 CANDIDATE (PC) 56.10%
37 CONFIRMED (CP) 62.16%
38 CANDIDATE (PC) 85.50%
39 FALSE POSITIVE 66.58%
40 CANDIDATE (PC) 61.59%
41 CONFIRMED (CP) 93.86%
42 FALSE POSITIVE 97.38%
43 CONFIRMED (CP) 92.05%
44 CANDIDATE (PC) 53.95%
45 CANDIDATE (PC) 82.99%
46 CANDIDATE (PC) 84.53%
47 FALSE POSITIVE 53.69%
48 CANDIDATE (PC) 82.78%
49 CONFIRMED (CP) 73.12%
50 FALSE POSITIVE 56.68%
51 CONFIRMED (CP) 68.96%
52 CONFIRMED (CP) 87.52%
53 FALSE POSITIVE 59.70%
54 FALSE POSITIVE 52.88%
55 CANDIDATE (PC) 54.13%
56 CANDIDATE (PC) 74.86%
57 FALSE POSITIVE 99.01%
58 CANDIDATE (PC) 82.66%
59 CANDIDATE (PC) 55.40%
60 CANDIDATE (PC) 95.72%
61 CONFIRMED (CP) 61.85%
62 CANDIDATE (PC) 42.02%
63 CONFIRMED (CP) 62.84%
64 CANDIDATE (PC) 88.36%
65 FALSE POSITIVE 96.55%
66 CANDIDATE (PC) 82.38%
67 CANDIDATE (PC) 71.76%
68 FALSE POSITIVE 81.21%
69 CANDIDATE (PC) 85.74%
70 CANDIDATE (PC) 80.44%
71 FALSE POSITIVE 98.80%
72 CANDIDATE (PC) 76.00%
73 FALSE POSITIVE 72.77%
74 FALSE POSITIVE 62.97%
75 CONFIRMED (CP) 97.46%
76 FALSE POSITIVE 91.77%
77 FALSE POSITIVE 50.80%
78 FALSE POSITIVE 86.55%
79 CONFIRMED (CP) 85.87%
80 CONFIRMED (CP) 68.46%
81 FALSE POSITIVE 98.39%
82 CONFIRMED (CP) 63.73%
83 FALSE POSITIVE 45.10%
84 FALSE POSITIVE 99.92%
85 FALSE POSITIVE 99.15%
86 CONFIRMED (CP) 94.91%
87 FALSE POSITIVE 98.76%
88 CANDIDATE (PC) 62.13%
89 FALSE POSITIVE 99.32%
90 CONFIRMED (CP) 76.11%
91 FALSE POSITIVE 73.03%
92 CANDIDATE (PC) 94.73%
93 CONFIRMED (CP) 60.82%
94 FALSE POSITIVE 97.04%
95 CONFIRMED (CP) 57.11%
96 CONFIRMED (CP) 46.69%
97 CONFIRMED (CP) 83.81%
98 FALSE POSITIVE 67.40%
99 CANDIDATE (PC) 62.89%
100 CONFIRMED (CP) 46.67%
101 CONFIRMED (CP) 51.48%
102 CONFIRMED (CP) 60.64%
103 CANDIDATE (PC) 91.92%
104 FALSE POSITIVE 94.52%
105 CONFIRMED (CP) 57.90%
106 CONFIRMED (CP) 66.92%
107 FALSE POSITIVE 46.53%
108 FALSE POSITIVE 59.30%
109 FALSE POSITIVE 54.25%
110 CANDIDATE (PC) 48.16%
111 CONFIRMED (CP) 55.11%
112 CANDIDATE (PC) 65.52%
113 CONFIRMED (CP) 86.30%
114 CANDIDATE (PC) 76.03%
115 CONFIRMED (CP) 52.18%
116 CANDIDATE (PC) 71.52%
117 CONFIRMED (CP) 88.34%
118 CANDIDATE (PC) 62.37%
119 CANDIDATE (PC) 50.08%
120 CANDIDATE (PC) 68.49%
121 CONFIRMED (CP) 48.41%
122 CANDIDATE (PC) 73.99%
123 CONFIRMED (CP) 79.59%
124 CANDIDATE (PC) 70.34%
125 CANDIDATE (PC) 47.33%
126 FALSE POSITIVE 98.41%
127 CANDIDATE (PC) 71.20%
128 FALSE POSITIVE 84.50%
129 CONFIRMED (CP) 72.63%
130 CANDIDATE (PC) 81.36%
131 CONFIRMED (CP) 88.54%
132 CONFIRMED (CP) 96.41%
133 CANDIDATE (PC) 83.49%
134 CANDIDATE (PC) 55.35%
135 CONFIRMED (CP) 78.30%
136 CANDIDATE (PC) 82.85%
137 CONFIRMED (CP) 54.93%
138 CANDIDATE (PC) 59.08%
139 CONFIRMED (CP) 86.22%
140 FALSE POSITIVE 95.03%
141 CANDIDATE (PC) 82.41%
142 CONFIRMED (CP) 96.44%
143 CONFIRMED (CP) 58.06%
144 FALSE POSITIVE 56.70%
145 CONFIRMED (CP) 43.42%
146 CONFIRMED (CP) 90.25%
147 FALSE POSITIVE 43.56%
148 CANDIDATE (PC) 46.78%
149 CANDIDATE (PC) 78.54%
150 FALSE POSITIVE 93.13%
151 FALSE POSITIVE 55.48%
152 CONFIRMED (CP) 84.53%
153 CONFIRMED (CP) 84.31%
154 CANDIDATE (PC) 83.62%
155 CONFIRMED (CP) 60.30%
156 CONFIRMED (CP) 67.61%
157 CONFIRMED (CP) 89.49%
158 FALSE POSITIVE 44.51%
159 CONFIRMED (CP) 95.78%
160 CANDIDATE (PC) 54.54%
161 FALSE POSITIVE 74.54%
162 FALSE POSITIVE 88.27%
163 CANDIDATE (PC) 47.55%
164 FALSE POSITIVE 91.09%
165 CANDIDATE (PC) 84.52%
166 CONFIRMED (CP) 95.13%
167 CANDIDATE (PC) 43.73%
168 FALSE POSITIVE 54.06%
169 CANDIDATE (PC) 61.97%
170 FALSE POSITIVE 55.36%
171 CANDIDATE (PC) 45.89%
172 FALSE POSITIVE 57.24%
173 CANDIDATE (PC) 38.11%
174 CANDIDATE (PC) 49.95%
175 CANDIDATE (PC) 85.15%
176 CONFIRMED (CP) 66.58%
177 CONFIRMED (CP) 78.66%
178 CONFIRMED (CP) 89.12%
179 CONFIRMED (CP) 40.70%
180 CANDIDATE (PC) 84.36%
181 CANDIDATE (PC) 61.36%
182 CANDIDATE (PC) 80.73%
183 CANDIDATE (PC) 47.69%
184 CONFIRMED (CP) 86.29%
185 CANDIDATE (PC) 54.84%
186 CONFIRMED (CP) 49.19%
187 FALSE POSITIVE 98.27%
188 CANDIDATE (PC) 64.24%
189 CANDIDATE (PC) 59.69%
190 FALSE POSITIVE 50.45%
191 FALSE POSITIVE 94.16%
192 FALSE POSITIVE 98.98%
193 CANDIDATE (PC) 51.19%
194 CONFIRMED (CP) 61.06%
195 CONFIRMED (CP) 53.42%
196 CANDIDATE (PC) 99.35%
197 CANDIDATE (PC) 35.52%
198 CONFIRMED (CP) 63.71%
199 FALSE POSITIVE 99.49%
200 CONFIRMED (CP) 44.25%
201 FALSE POSITIVE 66.20%
202 CONFIRMED (CP) 58.59%
203 CONFIRMED (CP) 85.91%
204 CONFIRMED (CP) 78.17%
205 CANDIDATE (PC) 84.25%
206 FALSE POSITIVE 98.09%
207 CANDIDATE (PC) 48.92%
208 CANDIDATE (PC) 47.03%
209 CANDIDATE (PC) 53.62%
210 CANDIDATE (PC) 81.34%
211 FALSE POSITIVE 98.29%
212 FALSE POSITIVE 63.52%
213 CANDIDATE (PC) 49.30%
214 FALSE POSITIVE 81.30%
215 CANDIDATE (PC) 86.81%
216 CONFIRMED (CP) 43.83%
217 FALSE POSITIVE 98.49%
218 CANDIDATE (PC) 76.69%
219 CONFIRMED (CP) 84.09%
220 CANDIDATE (PC) 95.62%
221 FALSE POSITIVE 99.51%
222 CONFIRMED (CP) 92.94%
223 CANDIDATE (PC) 54.94%
224 CANDIDATE (PC) 82.83%
225 CONFIRMED (CP) 89.08%
226 CONFIRMED (CP) 62.58%
227 FALSE POSITIVE 51.98%
228 CONFIRMED (CP) 68.23%
229 CANDIDATE (PC) 47.73%
230 FALSE POSITIVE 98.79%
231 FALSE POSITIVE 87.75%
232 FALSE POSITIVE 48.45%
233 CONFIRMED (CP) 85.29%
234 FALSE POSITIVE 48.92%
235 CONFIRMED (CP) 86.50%
236 CONFIRMED (CP) 46.01%
237 FALSE POSITIVE 99.35%
238 CONFIRMED (CP) 72.72%
239 FALSE POSITIVE 89.69%
240 CONFIRMED (CP) 55.47%
241 CONFIRMED (CP) 74.28%
242 CONFIRMED (CP) 46.87%
243 CANDIDATE (PC) 65.97%
244 FALSE POSITIVE 67.46%
245 CONFIRMED (CP) 74.97%
246 CANDIDATE (PC) 78.10%
247 CONFIRMED (CP) 87.11%
248 FALSE POSITIVE 65.05%
249 CANDIDATE (PC) 81.78%
250 CANDIDATE (PC) 47.85%
251 FALSE POSITIVE 55.89%
252 CANDIDATE (PC) 76.10%
253 FALSE POSITIVE 60.78%
254 FALSE POSITIVE 75.73%
255 FALSE POSITIVE 99.26%
256 CANDIDATE (PC) 81.29%
257 FALSE POSITIVE 97.35%
258 CANDIDATE (PC) 48.44%
259 CANDIDATE (PC) 91.54%
260 CONFIRMED (CP) 46.06%
261 CONFIRMED (CP) 49.68%
262 FALSE POSITIVE 98.69%
263 FALSE POSITIVE 88.28%
264 CONFIRMED (CP) 96.63%
265 CONFIRMED (CP) 57.87%
266 CANDIDATE (PC) 73.19%
267 FALSE POSITIVE 69.11%
268 CONFIRMED (CP) 50.69%
269 CANDIDATE (PC) 82.94%
270 CONFIRMED (CP) 63.47%
271 FALSE POSITIVE 65.73%
272 FALSE POSITIVE 99.32%
273 FALSE POSITIVE 51.28%
274 FALSE POSITIVE 44.26%
275 FALSE POSITIVE 98.95%
276 CANDIDATE (PC) 62.68%
277 CANDIDATE (PC) 85.04%
278 CONFIRMED (CP) 92.02%
279 CONFIRMED (CP) 92.98%
280 FALSE POSITIVE 55.86%
281 FALSE POSITIVE 98.44%
282 CONFIRMED (CP) 59.75%
283 CANDIDATE (PC) 79.39%
284 FALSE POSITIVE 46.95%
285 CANDIDATE (PC) 80.01%
286 CONFIRMED (CP) 51.85%
287 FALSE POSITIVE 95.49%
288 CONFIRMED (CP) 73.91%
289 CANDIDATE (PC) 69.12%
290 CANDIDATE (PC) 99.02%
291 CONFIRMED (CP) 70.49%
292 FALSE POSITIVE 67.54%
293 FALSE POSITIVE 41.61%
294 CANDIDATE (PC) 79.06%
295 CANDIDATE (PC) 84.30%
296 FALSE POSITIVE 93.16%
297 FALSE POSITIVE 57.99%
298 CONFIRMED (CP) 96.65%
299 CANDIDATE (PC) 99.49%
300 CANDIDATE (PC) 55.67%
301 CANDIDATE (PC) 62.41%
302 CANDIDATE (PC) 65.51%
303 FALSE POSITIVE 93.71%
304 FALSE POSITIVE 53.32%
305 CONFIRMED (CP) 68.59%
306 CONFIRMED (CP) 96.12%
307 CONFIRMED (CP) 45.05%
308 CONFIRMED (CP) 60.05%
309 CANDIDATE (PC) 51.18%
310 CONFIRMED (CP) 93.27%
311 FALSE POSITIVE 61.56%
312 CANDIDATE (PC) 97.06%
313 CANDIDATE (PC) 81.84%
314 FALSE POSITIVE 89.29%
315 FALSE POSITIVE 93.37%
316 CANDIDATE (PC) 52.96%
317 CANDIDATE (PC) 81.96%
318 CANDIDATE (PC) 67.56%
319 FALSE POSITIVE 50.64%
320 CONFIRMED (CP) 96.61%
321 CONFIRMED (CP) 87.34%
322 CONFIRMED (CP) 51.09%
323 CANDIDATE (PC) 88.93%
324 CANDIDATE (PC) 76.64%
325 CONFIRMED (CP) 96.44%
326 FALSE POSITIVE 73.15%
327 CANDIDATE (PC) 85.49%
328 CANDIDATE (PC) 91.16%
329 CONFIRMED (CP) 70.05%
330 CANDIDATE (PC) 61.86%
331 CANDIDATE (PC) 93.67%
332 FALSE POSITIVE 48.82%
333 FALSE POSITIVE 95.12%
334 CANDIDATE (PC) 85.60%
335 FALSE POSITIVE 99.78%
336 CONFIRMED (CP) 64.31%
337 FALSE POSITIVE 52.85%
338 FALSE POSITIVE 96.96%
339 CONFIRMED (CP) 96.74%
340 FALSE POSITIVE 63.76%
341 FALSE POSITIVE 90.33%
342 CONFIRMED (CP) 93.50%
343 CONFIRMED (CP) 58.73%
344 CANDIDATE (PC) 77.06%
345 CONFIRMED (CP) 95.41%
346 CANDIDATE (PC) 43.80%
347 CANDIDATE (PC) 71.25%
348 CANDIDATE (PC) 53.41%
349 CONFIRMED (CP) 51.41%
350 CONFIRMED (CP) 53.04%
351 CONFIRMED (CP) 82.98%
352 CANDIDATE (PC) 64.15%
353 FALSE POSITIVE 81.24%
354 CONFIRMED (CP) 96.21%
355 CANDIDATE (PC) 64.44%
