RESULTADOS DEL MODELO: XGBoost (TestData: complex_data)
======================================================================
Accuracy General: 0.8121

Matriz de Confusión:
[[ 736  239   39]
 [ 145 1075   92]
 [  31   45  744]]

Informe de Clasificación (Precision, Recall, F1-Score):
                precision    recall  f1-score   support

FALSE POSITIVE       0.81      0.73      0.76      1014
CANDIDATE (PC)       0.79      0.82      0.80      1312
CONFIRMED (CP)       0.85      0.91      0.88       820

      accuracy                           0.81      3146
     macro avg       0.82      0.82      0.82      3146
  weighted avg       0.81      0.81      0.81      3146

======================================================================
Predicciones individuales:

1 FALSE POSITIVE 77.70%
2 CANDIDATE (PC) 73.03%
3 FALSE POSITIVE 85.80%
4 CANDIDATE (PC) 93.72%
5 CANDIDATE (PC) 80.11%
6 FALSE POSITIVE 84.11%
7 CONFIRMED (CP) 97.47%
8 CONFIRMED (CP) 91.55%
9 FALSE POSITIVE 96.87%
10 FALSE POSITIVE 98.65%
11 CANDIDATE (PC) 50.39%
12 CANDIDATE (PC) 78.68%
13 CANDIDATE (PC) 67.58%
14 FALSE POSITIVE 94.63%
15 CONFIRMED (CP) 57.75%
16 CANDIDATE (PC) 74.63%
17 CANDIDATE (PC) 94.75%
18 CONFIRMED (CP) 97.88%
19 FALSE POSITIVE 99.06%
20 CANDIDATE (PC) 99.06%
21 CANDIDATE (PC) 91.30%
22 FALSE POSITIVE 77.00%
23 CONFIRMED (CP) 53.83%
24 FALSE POSITIVE 94.23%
25 FALSE POSITIVE 99.12%
26 CONFIRMED (CP) 55.57%
27 FALSE POSITIVE 99.10%
28 CANDIDATE (PC) 91.95%
29 FALSE POSITIVE 99.61%
30 CANDIDATE (PC) 99.68%
31 CANDIDATE (PC) 55.06%
32 FALSE POSITIVE 65.56%
33 FALSE POSITIVE 48.07%
34 CANDIDATE (PC) 88.60%
35 CANDIDATE (PC) 94.53%
36 CANDIDATE (PC) 87.50%
37 CONFIRMED (CP) 99.11%
38 CANDIDATE (PC) 82.66%
39 FALSE POSITIVE 50.29%
40 CONFIRMED (CP) 60.40%
41 CONFIRMED (CP) 92.77%
42 FALSE POSITIVE 99.26%
43 CONFIRMED (CP) 81.45%
44 FALSE POSITIVE 79.40%
45 CANDIDATE (PC) 54.55%
46 CANDIDATE (PC) 94.31%
47 CONFIRMED (CP) 95.99%
48 CANDIDATE (PC) 84.45%
49 CANDIDATE (PC) 94.50%
50 CONFIRMED (CP) 97.01%
51 FALSE POSITIVE 99.67%
52 CANDIDATE (PC) 84.16%
53 CANDIDATE (PC) 92.99%
54 CONFIRMED (CP) 97.07%
55 CANDIDATE (PC) 50.40%
56 FALSE POSITIVE 78.56%
57 FALSE POSITIVE 90.91%
58 FALSE POSITIVE 99.33%
59 FALSE POSITIVE 99.41%
60 CANDIDATE (PC) 90.39%
61 CANDIDATE (PC) 73.13%
62 FALSE POSITIVE 99.79%
63 CANDIDATE (PC) 57.21%
64 CANDIDATE (PC) 91.67%
65 CANDIDATE (PC) 59.82%
66 CANDIDATE (PC) 48.82%
67 CONFIRMED (CP) 98.55%
68 FALSE POSITIVE 99.90%
69 CANDIDATE (PC) 93.68%
70 CANDIDATE (PC) 93.18%
71 FALSE POSITIVE 98.47%
72 CONFIRMED (CP) 60.05%
73 CANDIDATE (PC) 86.80%
74 CANDIDATE (PC) 92.74%
75 CANDIDATE (PC) 84.25%
76 CANDIDATE (PC) 85.12%
77 CANDIDATE (PC) 99.78%
78 CONFIRMED (CP) 94.84%
79 FALSE POSITIVE 65.55%
80 FALSE POSITIVE 82.42%
81 CONFIRMED (CP) 99.29%
82 FALSE POSITIVE 96.89%
83 CONFIRMED (CP) 97.66%
84 CANDIDATE (PC) 69.57%
85 CONFIRMED (CP) 94.75%
86 CANDIDATE (PC) 83.38%
87 CANDIDATE (PC) 91.80%
88 CANDIDATE (PC) 57.66%
89 CANDIDATE (PC) 61.98%
90 CANDIDATE (PC) 82.49%
91 CANDIDATE (PC) 95.46%
92 CANDIDATE (PC) 85.78%
93 CANDIDATE (PC) 65.64%
94 CONFIRMED (CP) 97.33%
95 CANDIDATE (PC) 99.57%
96 CONFIRMED (CP) 98.87%
97 FALSE POSITIVE 99.64%
98 CONFIRMED (CP) 99.38%
99 CONFIRMED (CP) 39.07%
100 CANDIDATE (PC) 77.77%
101 FALSE POSITIVE 64.87%
102 CANDIDATE (PC) 95.16%
103 CANDIDATE (PC) 99.67%
104 FALSE POSITIVE 62.98%
105 CANDIDATE (PC) 57.79%
106 CANDIDATE (PC) 86.92%
107 FALSE POSITIVE 88.52%
108 CANDIDATE (PC) 47.46%
109 CANDIDATE (PC) 69.67%
110 CANDIDATE (PC) 86.77%
111 CANDIDATE (PC) 57.06%
112 CANDIDATE (PC) 94.67%
113 CONFIRMED (CP) 50.95%
114 CONFIRMED (CP) 87.48%
115 CANDIDATE (PC) 93.65%
116 CONFIRMED (CP) 96.69%
117 CANDIDATE (PC) 90.88%
118 CANDIDATE (PC) 92.87%
119 CANDIDATE (PC) 65.41%
120 FALSE POSITIVE 98.78%
121 CANDIDATE (PC) 54.52%
122 CANDIDATE (PC) 48.46%
123 FALSE POSITIVE 97.54%
124 CANDIDATE (PC) 91.08%
125 CANDIDATE (PC) 69.70%
126 CONFIRMED (CP) 99.00%
127 CANDIDATE (PC) 92.34%
128 CONFIRMED (CP) 82.90%
129 FALSE POSITIVE 67.35%
130 CANDIDATE (PC) 96.18%
131 CONFIRMED (CP) 77.93%
132 CONFIRMED (CP) 81.81%
133 CONFIRMED (CP) 95.73%
134 CONFIRMED (CP) 80.05%
135 CANDIDATE (PC) 87.50%
136 FALSE POSITIVE 97.25%
137 CONFIRMED (CP) 79.09%
138 CANDIDATE (PC) 88.22%
139 FALSE POSITIVE 85.09%
140 FALSE POSITIVE 99.89%
141 CONFIRMED (CP) 90.08%
142 FALSE POSITIVE 99.00%
143 CANDIDATE (PC) 98.80%
144 FALSE POSITIVE 99.89%
145 FALSE POSITIVE 59.23%
146 FALSE POSITIVE 99.16%
147 FALSE POSITIVE 80.88%
148 CONFIRMED (CP) 36.14%
149 FALSE POSITIVE 84.20%
150 CANDIDATE (PC) 92.82%
151 CANDIDATE (PC) 94.29%
152 CONFIRMED (CP) 93.69%
153 FALSE POSITIVE 63.69%
154 CANDIDATE (PC) 86.96%
155 CANDIDATE (PC) 92.24%
156 CANDIDATE (PC) 95.42%
157 CANDIDATE (PC) 90.96%
158 FALSE POSITIVE 99.42%
159 CONFIRMED (CP) 53.47%
160 CONFIRMED (CP) 97.00%
161 FALSE POSITIVE 88.94%
162 CONFIRMED (CP) 49.61%
163 CANDIDATE (PC) 65.19%
164 FALSE POSITIVE 60.29%
165 CANDIDATE (PC) 92.72%
166 FALSE POSITIVE 79.54%
167 FALSE POSITIVE 54.99%
168 CANDIDATE (PC) 89.17%
169 FALSE POSITIVE 96.85%
170 FALSE POSITIVE 51.25%
171 CANDIDATE (PC) 50.69%
172 CANDIDATE (PC) 92.74%
173 CONFIRMED (CP) 97.42%
174 CANDIDATE (PC) 99.89%
175 CANDIDATE (PC) 96.90%
176 CONFIRMED (CP) 59.48%
177 FALSE POSITIVE 64.41%
178 CANDIDATE (PC) 95.16%
179 CANDIDATE (PC) 88.45%
180 CONFIRMED (CP) 50.86%
181 CONFIRMED (CP) 73.04%
182 CONFIRMED (CP) 39.61%
183 CONFIRMED (CP) 66.14%
184 FALSE POSITIVE 75.06%
185 CONFIRMED (CP) 87.94%
186 FALSE POSITIVE 86.07%
187 CANDIDATE (PC) 36.12%
188 CONFIRMED (CP) 97.82%
189 FALSE POSITIVE 97.45%
190 CONFIRMED (CP) 41.75%
191 CANDIDATE (PC) 89.10%
192 CONFIRMED (CP) 94.48%
193 CONFIRMED (CP) 93.65%
194 FALSE POSITIVE 97.29%
195 FALSE POSITIVE 95.53%
196 CANDIDATE (PC) 85.96%
197 FALSE POSITIVE 95.68%
198 FALSE POSITIVE 73.39%
199 FALSE POSITIVE 68.82%
200 CANDIDATE (PC) 59.39%
201 CONFIRMED (CP) 79.90%
202 CANDIDATE (PC) 89.32%
