PERIOD,RADIUS,DENSITY,NUM_PLANETS,DURATION,TEFF,DEPTH,DISPOSITION_ENCODED
41.688644,2.35545351,0.993,1.0,3.30605,5703.0,714.1,2
41.6855,2.23,7.89,1.0,3.30605,5766.0,714.1,2
41.6855,2.57807,0.993,1.0,3.30605,5766.0,0.049,2
1.1947488,4.19,0.993,0.0,3.30605,3919.0,0.448,1
6.17887,8.84,0.993,0.0,3.30605,4719.28,1.303,1
1.17589,0.86,0.993,0.0,3.30605,5726.0,0.0686,1
10.6966,1.45,0.993,0.0,3.30605,5726.0,0.0557,1
1.5374115,45.0,0.993,0.0,3.30605,5726.0,1.4564,1
2.71189,4.34,0.993,0.0,3.30605,6402.0,0.02,1
18.10549,2.09985108,0.993,2.0,3.30605,6213.0,714.1,1
6.7987,1.047,0.993,1.0,3.30605,3648.0,714.1,2
79.9999,10.2,0.993,0.0,3.30605,4542.0,714.1,1
6.146653835,30.0,0.993,0.0,3.30605,5726.0,3.06,1
17.77297,26.44,0.993,0.0,3.30605,5847.0,3.662,1
0.99656225,32.8,0.993,0.0,3.30605,3727.0,35.5,1
14.912381,3.55,0.993,0.0,3.30605,4224.0,0.252,1
14.9139,3.24,0.993,0.0,3.30605,5726.0,0.24,1
0.57303573,3.35,0.993,0.0,3.30605,3570.0,0.51,1
28.1696,2.2,0.993,1.0,3.30605,5726.0,0.316,2
7.90417,2.06,0.993,1.0,3.30605,5726.0,0.268,1
7.9069606,3.02,0.993,1.0,3.30605,3772.0,0.28,1
1.0829614,1.56,0.993,0.0,3.30605,3875.0,0.0655,1
0.905655,1.57,0.993,0.0,3.30605,5726.0,0.0678,1
0.90552205,1.52,0.993,0.0,3.30605,3710.0,0.0791,1
2.7541129,4.87,0.993,0.0,3.30605,3834.0,0.671,1
2.75421,8.4,0.993,0.0,3.30605,5726.0,0.746,1
2.75391,3.78,0.993,0.0,3.30605,3918.0,714.1,1
50.285869,3.47,0.993,0.0,3.30605,4859.0,0.184,0
50.27762,209.52,0.993,0.0,3.30605,5141.0,714.1,0
10.50439,1.75,0.993,0.0,3.30605,5726.0,0.0402,1
1.684208,5.51,0.993,0.0,3.30605,5726.0,1.476,1
0.21219899,1.05,0.993,0.0,3.30605,3468.0,0.0662,1
0.212194,0.77,0.993,0.0,3.30605,3299.0,714.1,1
1.5778643,7.55,0.993,0.0,3.30605,4811.0,0.891,1
1.57771549,3.567,0.993,0.0,3.30605,5163.0,1.823,1
1.57771549,3.567,0.993,0.0,3.30605,7333.0,0.875,1
13.0113,2.43,0.993,0.0,3.30605,5347.0,0.065,1
21.204739,9.11013939,0.993,0.0,3.30605,5154.0,714.1,1
2.519334,3.91,0.993,0.0,3.30605,6283.0,714.1,0
2.5194039,7.65729,0.993,0.0,3.30605,6380.0,0.1935,0
2.51881781,3.567,0.993,0.0,3.30605,6380.0,0.215,0
2.5194078,7.99,0.993,0.0,3.30605,7119.0,0.181,0
13.383629,2.87289326,0.993,0.0,3.30605,5216.0,714.1,1
13.38382,2.7,0.993,0.0,3.30605,5113.71,0.12,1
11.8951,3.567,0.993,0.0,3.30605,5040.0,714.1,1
7.4433,2.73,0.993,0.0,3.30605,5726.0,0.116,1
2.638,2.91,0.993,0.0,3.30605,4264.47,0.11,1
2.8268121,40.1,0.993,0.0,3.30605,5736.0,14.1,1
4.44044,1.32,0.993,0.0,3.30605,5726.0,0.01414,1
4.441258,1.12422498,0.993,0.0,3.30605,5450.0,714.1,1
8.006875,2.384,0.993,0.0,3.30605,5403.0,714.1,1
3.3643115,85.6,0.993,0.0,3.30605,6240.0,35.2,1
13.837814,1.96,0.993,1.0,3.30605,4535.0,0.0663,1
7.79983,1.37,0.993,1.0,3.30605,5726.0,0.0561,1
