PERIOD,RADIUS,DENSITY,NUM_PLANETS,DISPOSITION_ENCODED
41.688644,2.35545351,0.993,1.0,2
41.6855,2.23,7.89,1.0,2
41.6855,2.57807,0.993,1.0,2
2.30183,1.12,0.993,0.0,1
2.302368,1.31258765,0.993,0.0,1
1.1947488,4.19,0.993,0.0,1
6.178369,9.91257877,0.993,0.0,1
6.17887,8.84,0.993,0.0,1
1.17589,0.86,0.993,0.0,1
10.6966,1.45,0.993,0.0,1
1.5374115,45.0,0.993,0.0,1
2.71189,4.34,0.993,0.0,1
18.10549,2.09985108,0.993,2.0,1
6.7987,1.047,0.993,1.0,2
79.9999,10.2,0.993,0.0,1
6.146653835,30.0,0.993,0.0,1
17.77297,26.44,0.993,0.0,1
0.99656225,32.8,0.993,0.0,1
14.912381,3.55,0.993,0.0,1
14.9139,3.24,0.993,0.0,1
0.57303573,3.35,0.993,0.0,1
28.1656,1.87,0.993,1.0,2
28.1696,2.2,0.993,1.0,2
7.90417,2.06,0.993,1.0,1
7.9069606,3.02,0.993,1.0,1
1.0829614,1.56,0.993,0.0,1
0.905655,1.57,0.993,0.0,1
0.90552205,1.52,0.993,0.0,1
2.7541129,4.87,0.993,0.0,1
2.75421,8.4,0.993,0.0,1
2.75391,3.78,0.993,0.0,1
50.285869,3.47,0.993,0.0,0
50.27762,209.52,0.993,0.0,0
10.50439,1.75,0.993,0.0,1
1.684208,5.51,0.993,0.0,1
0.2122013,0.519,0.993,0.0,1
0.21219899,1.05,0.993,0.0,1
0.212194,0.77,0.993,0.0,1
1.5778643,7.55,0.993,0.0,1
1.57771549,3.567,0.993,0.0,1
1.57771549,3.567,0.993,0.0,1
13.0113,2.43,0.993,0.0,1
40.70206194,3.567,0.993,0.0,1
21.204739,9.11013939,0.993,0.0,1
2.519334,3.91,0.993,0.0,0
2.5194039,7.65729,0.993,0.0,0
2.519386,19.6,0.993,0.0,0
2.51881781,3.567,0.993,0.0,0
2.5194078,7.99,0.993,0.0,0
13.383629,2.87289326,0.993,0.0,1
13.38382,2.7,0.993,0.0,1
11.8951,3.567,0.993,0.0,1
40.1401,20.8,0.993,0.0,1
7.4433,2.73,0.993,0.0,1
2.638,2.91,0.993,0.0,1
27.47083,3.36,0.993,0.0,1
2.8268121,40.1,0.993,0.0,1
0.72091,1.5,0.993,1.0,2
4.44044,1.32,0.993,0.0,1
4.4416421,1.17,0.993,0.0,1
4.441258,1.12422498,0.993,0.0,1
11.20381,2.18,0.993,0.0,1
8.006875,2.384,0.993,0.0,1
3.3643115,85.6,0.993,0.0,1
2.13174,0.692,0.993,1.0,2
13.837814,1.96,0.993,1.0,1
13.8394,1.29,0.993,1.0,1
7.79983,1.37,0.993,1.0,1
7.7991586,1.57,0.993,1.0,1
3.883,1.06,0.993,1.0,1
2.3330982,5.48,0.993,0.0,1
2.33293,3.2,0.993,0.0,1
