PERIOD,RADIUS,DENSITY,NUM_PLANETS,DURATION,TEFF,DEPTH,DISPOSITION_ENCODED
1.597226,3.567,0.993,1.0,5.3721722,5726.0,3834.1260621,0
212.43503674,3.567,0.993,3.0,4.26,5726.0,714.1,1
1.56493,2.22,0.993,0.0,3.30605,3938.0,714.1,1
24.5434566,3.08,0.59382,2.0,7.2518,5955.0,1151.3,2
3.28102986099,2.50448263,0.993,2.0,3.30605,4783.6,0.1163604,2
1.6117444,6.63491,0.993,1.0,1.524,6056.0,3120.0,0
1.157808038,22.9,0.03841,1.0,3.6705,5566.0,866.7,0
2.2437501,10.0826,0.993,1.0,3.821,7209.0,2880.0,0
4.22464216,4.31,1.49538,1.0,1.403,6343.0,987.0,1
4.919584997,2.86,0.54735,1.0,4.1988,6236.0,425.7,2
2.935886,14.3093,0.993,1.0,2.93,5896.0,5900.0,1
58.621578824,40.43,1.43506,1.0,8.52961,5232.0,142950.0,0
14.7802661,9.06559,0.993,1.0,3.497,5659.0,6840.0,1
3.292013,5.76,0.993,0.0,3.30605,5726.0,0.658,1
1.33711405,3.567,0.993,1.0,3.30605,4459.0,3.217,2
5.2201338,14.7463,0.993,1.0,2.584,11632.0,6040.0,0
0.393727296,23.05,0.25254,1.0,3.02,5628.0,903.5,0
7.809463,14.0451,0.993,1.0,4.133,5816.0,11239.0,1
15.50192,2.49,0.993,2.0,3.30605,4222.06,714.1,2
7.1925327,2.5719,0.993,1.0,2.551,5050.0,1180.0,1
1.30924,3.567,0.993,1.0,2.535,8832.5,3370.0,0
28.597880332,74.25,0.96273,1.0,7.71925,6590.0,85952.0,0
15.068060768,16.43,1.49591,1.0,3.3011,5982.0,19387.0,1
119.0207044,8.98,2.31024,1.0,8.1405,5453.0,7430.5,1
383.43595,2.53,2.62441,1.0,11.059,5576.0,1228.0,0
6.146653835,9.5037684,0.993,1.0,13.5723661,3696.0,28182.0217132,1
12.6427441,10.8159,0.993,1.0,7.917,5605.0,7747.0,1
6.146653835,1.4099651,0.993,1.0,14.1230558,5106.0,317.9766458,1
0.523632451,1.08,0.28455,1.0,1.99,8277.0,8.1,0
56.648588,2.19,1.60201,1.0,4.534,5023.0,648.9,1
11.81004,3.08,0.993,1.0,3.30605,5726.0,0.1329,2
10.9938268,52.69,2.80849,1.0,5.0746,4856.0,419210.0,0
3.3513304,17.7728,0.993,1.0,2.739,4886.0,400.0,0
7.91936937,10.34,1.13074,1.0,3.3148,5690.0,15148.0,0
169.135056,2.21,0.67276,1.0,8.931,5171.0,640.7,2
4.5117148,2.89398,0.993,1.0,4.48,5785.0,550.0,1
3.50472344,0.8,3.55885,2.0,1.9464,5115.0,90.7,2
10.68758211,2.64,0.56806,3.0,3.3812,5788.0,777.7,2
194.25835342,3.567,0.993,1.0,3.15,5726.0,714.1,1
1.4733245,1.03,4.38825,1.0,1.406,5751.0,124.0,1
