PERIOD,RADIUS,DENSITY,NUM_PLANETS,DURATION,TEFF,DEPTH
6.146653835,2.8398685,0.993,1.0,1.8522307,4968.0,1219.8107094
5.87672094142,8.02139241,0.993,0.0,3.30605,4111.0,1.01673987
9.49259,3.567,0.993,0.0,3.30605,4645.01,0.4713
13.0518467,17.0183,0.993,1.0,3.333,5268.9,39070.0
151.577009,3.67,77.57838,1.0,2.59,6854.0,467.9
1.138548215,1.45,0.63104,1.0,2.1482,6520.0,66.2
58.4302648,3.45,0.12564,1.0,7.18,4338.0,1849.5
2.5355023,2.7,0.00712,1.0,7.189,6268.0,354.6
4.5808535,12.4319,0.993,1.0,3.488,5528.7,11480.0
149.237142,2.22,85.53641,1.0,2.503,5492.0,772.0
2.2219839,15.4416,0.993,1.0,1.996,7166.8,4394.0
1.463775066,1.2,5.06499,1.0,0.953,6781.0,45.1
1.9410635,11.8231228,0.993,1.0,1.771526,6497.2,4846.7705905
7.5811005,11.5863,0.993,1.0,4.457,6257.6,9830.0
3.6153701,13.6892,0.993,1.0,2.714,5516.0,14305.0
8.07394097,1.59,0.46114,1.0,2.455,3675.0,1056.0
0.422015793,6.69,0.29261,1.0,1.23416,5614.0,1291.9
24.7543849,2.1,2.15857,1.0,3.39,4852.0,593.3
6.581477136,4.56,2.08376,3.0,3.0896,5188.0,2318.9
51.6708185,12.8776,0.993,1.0,3.449,7115.0,4697.0
1.077358008,70.64,0.69569,1.0,3.6713,6100.0,311050.0
2.177846,1.2,0.993,0.0,3.30605,5726.0,714.1
10.08535311,1.45,10.20469,1.0,1.75,5947.0,222.5
23.6223571,1.07,0.50976,1.0,6.852,6144.0,57.0
10.9278415,49.1695,0.993,1.0,2.468,6259.0,2743.0
7.9923268,9.69724,0.993,1.0,2.176,5825.0,5780.0
12.2631,1.87,0.993,0.0,3.30605,5106.0,714.1
11.2320736,7.84543,0.993,1.0,2.549,6234.0,5174.0
571.14302,2.22,3.3174,1.0,10.06,5751.0,531.3
9.10326,26.9344,0.993,1.0,1.928,5467.0,14080.0
15.0447098,1.51,0.6607,2.0,5.823,5798.0,97.9
0.933746709,0.36,0.22026,1.0,3.435,6302.0,18.6
6.146653835,9.33426,0.993,1.0,9.528,5216.0,7525.67
2.9884191,16.3009,0.993,1.0,3.575,6636.0,12890.0
46.969389,7.45,52.01088,1.0,1.944,5401.0,1875.0
