PERIOD,RADIUS,DENSITY,NUM_PLANETS,DURATION,TEFF,DEPTH
33.5792968,8.91632,0.993,1.0,4.713,6294.0,3860.0
3.7590079,7.61924,0.993,1.0,3.304,9505.0,869.0
88.2553729,2.96,1.24217,4.0,4.539,5176.0,1132.2
14.137062,1.37,10.12845,1.0,2.264,4861.0,393.0
11.30507984,1.4,1.48762,1.0,3.989,5705.0,278.4
10.136796,5.00805298,0.993,1.0,3.30605,6095.0,714.1
14.223889,21.936,0.993,0.0,3.30605,5023.0,714.1
11.09226,2.495,0.993,0.0,3.30605,4496.0,714.1
6.06330298,1.64,1.51682,7.0,3.275,6308.0,200.7
2.6492703,12.9788,0.993,1.0,2.42,5743.0,10560.0
4.60300256,1.32,2.09049,2.0,2.6848,4821.0,302.5
5.513327,3.9,0.993,0.0,3.30605,5020.0,0.2119
6.2099619,14.369,0.993,1.0,4.49,6382.0,4090.0
4.1059615,9.32533,0.993,1.0,3.688,6524.0,5250.0
5.3079507,3.0486928,0.993,1.0,3.2158594,6124.3,391.3830934
368.11581,2.11,1.33395,1.0,13.52,6122.0,476.2
1.5174038,3.567,0.993,1.0,1.635,5726.0,14220.0
5.36652724,7.97,0.00981,1.0,8.367,5858.0,3122.5
40.9882124,1.44,6.8635,1.0,3.599,6705.0,145.8
1.81042,3.567,0.993,0.0,3.30605,3050.0,3.5275
2.231527,1.076,0.993,5.0,3.30605,3623.0,714.1
1.90879,3.34688,0.993,1.0,1.909,6022.6,618.482
44.2993483,2.68,2.62575,1.0,4.298,5316.0,797.9
28.1656,1.87,0.993,1.0,3.30605,5726.0,714.1
22.77194512,251.93,0.09766,1.0,10.1995,5073.0,30246.0
0.984971822,56.1,0.38686,1.0,1.64247,6437.0,6683.5
3.8635521,15.1873,0.993,1.0,3.896,6797.0,11350.0
7.52118,12.9114,0.993,1.0,6.133,6184.6,50623.3
6.146653835,4.5545799,0.993,1.0,16.657231,6477.0,789.17357
1.081935491,0.99,0.08505,1.0,5.136,4938.0,202.9
165.739861,57.54,0.10274,1.0,24.9393,5019.0,7343.4
39.74893077,14.21,0.31474,1.0,7.3051,6122.0,15179.0
4.41746257,3.95,1.48848,1.0,2.965,6570.0,291.0
8.2500143,11.8684,0.993,1.0,3.317,7386.5,2250.0
5.213965,2.27,0.993,2.0,3.30605,5171.0,714.1
10.5007712,5.68,0.03041,2.0,14.522,4838.0,183.4
3.8608551,11.2224,0.993,1.0,2.571,5019.0,14670.0
1.152216965,187.73,0.44883,1.0,2.2245,5560.0,12072.0
14.08826442,2.66,1.71486,1.0,4.1847,5853.0,889.4
2.6093167,11.4272,0.993,1.0,1.175,7235.0,1984.0
3.5505931,17.9407,0.993,1.0,2.713,4803.0,15700.0
4.350087749,24.77,0.85242,1.0,2.6428,6060.0,23593.0
7.7605254,4.92551,0.993,1.0,3.639,6070.0,2060.0
