RESULTADOS DEL MODELO: RandomForest
======================================================================
Accuracy General: 0.7979

Matriz de Confusión:
[[ 932  257   77]
 [ 218 1234  154]
 [  50   29  933]]

Informe de Clasificación (Precision, Recall, F1-Score):
                precision    recall  f1-score   support

FALSE POSITIVE       0.78      0.74      0.76      1266
CANDIDATE (PC)       0.81      0.77      0.79      1606
CONFIRMED (CP)       0.80      0.92      0.86      1012

      accuracy                           0.80      3884
     macro avg       0.80      0.81      0.80      3884
  weighted avg       0.80      0.80      0.80      3884

======================================================================
Predicciones individuales:

1 CONFIRMED (CP) 87.59%
2 CONFIRMED (CP) 95.97%
3 FALSE POSITIVE 97.84%
4 CANDIDATE (PC) 84.84%
5 FALSE POSITIVE 73.82%
6 CANDIDATE (PC) 67.03%
7 CANDIDATE (PC) 82.94%
8 CANDIDATE (PC) 63.68%
9 FALSE POSITIVE 64.67%
10 CANDIDATE (PC) 43.86%
11 CANDIDATE (PC) 45.98%
12 FALSE POSITIVE 99.84%
13 CANDIDATE (PC) 66.24%
14 CONFIRMED (CP) 52.83%
15 FALSE POSITIVE 98.50%
16 CANDIDATE (PC) 87.99%
17 FALSE POSITIVE 84.26%
18 CANDIDATE (PC) 47.15%
19 CONFIRMED (CP) 97.57%
20 CANDIDATE (PC) 61.34%
21 FALSE POSITIVE 78.74%
22 CANDIDATE (PC) 48.49%
23 CONFIRMED (CP) 60.16%
24 CANDIDATE (PC) 39.16%
25 CANDIDATE (PC) 91.88%
26 CONFIRMED (CP) 96.39%
27 FALSE POSITIVE 99.19%
28 CONFIRMED (CP) 43.27%
29 CANDIDATE (PC) 63.52%
30 CANDIDATE (PC) 88.02%
31 CONFIRMED (CP) 92.78%
32 FALSE POSITIVE 69.86%
33 FALSE POSITIVE 58.13%
34 FALSE POSITIVE 99.96%
35 CANDIDATE (PC) 83.70%
36 CANDIDATE (PC) 88.05%
37 CONFIRMED (CP) 93.49%
38 CANDIDATE (PC) 80.48%
39 FALSE POSITIVE 57.17%
40 CANDIDATE (PC) 60.93%
41 CONFIRMED (CP) 96.44%
42 FALSE POSITIVE 93.40%
43 CONFIRMED (CP) 87.66%
44 CANDIDATE (PC) 72.05%
45 CANDIDATE (PC) 90.81%
46 CANDIDATE (PC) 88.40%
47 CANDIDATE (PC) 48.61%
48 CANDIDATE (PC) 81.13%
49 CONFIRMED (CP) 69.98%
50 FALSE POSITIVE 58.88%
51 CONFIRMED (CP) 57.03%
52 CONFIRMED (CP) 63.25%
53 CANDIDATE (PC) 81.84%
54 FALSE POSITIVE 59.41%
55 CONFIRMED (CP) 44.33%
56 CANDIDATE (PC) 84.90%
57 FALSE POSITIVE 94.85%
58 CANDIDATE (PC) 91.02%
59 CANDIDATE (PC) 88.82%
60 CANDIDATE (PC) 83.82%
61 CONFIRMED (CP) 61.33%
62 FALSE POSITIVE 40.74%
63 CONFIRMED (CP) 92.53%
64 CANDIDATE (PC) 80.80%
65 FALSE POSITIVE 92.50%
66 CANDIDATE (PC) 91.41%
67 CANDIDATE (PC) 77.27%
68 FALSE POSITIVE 56.25%
69 CANDIDATE (PC) 90.01%
70 CANDIDATE (PC) 91.63%
71 FALSE POSITIVE 98.45%
72 CANDIDATE (PC) 77.16%
73 FALSE POSITIVE 70.62%
74 CANDIDATE (PC) 52.91%
75 CONFIRMED (CP) 96.15%
76 FALSE POSITIVE 76.19%
77 CANDIDATE (PC) 81.90%
78 FALSE POSITIVE 87.25%
79 CONFIRMED (CP) 95.21%
80 CONFIRMED (CP) 65.42%
81 FALSE POSITIVE 99.95%
82 CONFIRMED (CP) 91.99%
83 FALSE POSITIVE 51.87%
84 FALSE POSITIVE 99.96%
85 FALSE POSITIVE 98.09%
86 CONFIRMED (CP) 89.99%
87 FALSE POSITIVE 96.28%
88 CANDIDATE (PC) 58.09%
89 FALSE POSITIVE 94.33%
90 CONFIRMED (CP) 68.06%
91 FALSE POSITIVE 76.91%
92 CANDIDATE (PC) 84.23%
93 CONFIRMED (CP) 92.22%
94 FALSE POSITIVE 99.31%
95 CONFIRMED (CP) 62.85%
96 CONFIRMED (CP) 75.96%
97 CONFIRMED (CP) 94.37%
98 FALSE POSITIVE 70.07%
99 CANDIDATE (PC) 50.62%
100 CONFIRMED (CP) 60.62%
101 CONFIRMED (CP) 65.73%
102 CANDIDATE (PC) 50.77%
103 CANDIDATE (PC) 81.06%
104 FALSE POSITIVE 95.59%
105 CONFIRMED (CP) 51.79%
106 CONFIRMED (CP) 89.98%
107 CANDIDATE (PC) 40.91%
108 FALSE POSITIVE 56.85%
109 FALSE POSITIVE 49.84%
110 CONFIRMED (CP) 73.44%
111 CONFIRMED (CP) 88.53%
112 FALSE POSITIVE 73.20%
113 CONFIRMED (CP) 96.48%
114 CANDIDATE (PC) 86.37%
115 CONFIRMED (CP) 92.69%
116 CANDIDATE (PC) 84.65%
117 CONFIRMED (CP) 74.01%
118 CANDIDATE (PC) 81.39%
119 CONFIRMED (CP) 88.25%
120 CANDIDATE (PC) 66.47%
121 CANDIDATE (PC) 53.31%
122 CANDIDATE (PC) 85.62%
123 FALSE POSITIVE 59.57%
124 CANDIDATE (PC) 54.54%
125 CANDIDATE (PC) 46.78%
126 FALSE POSITIVE 97.87%
127 CANDIDATE (PC) 79.99%
128 FALSE POSITIVE 69.60%
129 CONFIRMED (CP) 70.42%
130 CANDIDATE (PC) 88.45%
131 CONFIRMED (CP) 78.26%
132 CONFIRMED (CP) 77.80%
133 CANDIDATE (PC) 90.26%
134 CONFIRMED (CP) 62.54%
135 CONFIRMED (CP) 70.29%
136 CANDIDATE (PC) 74.14%
137 CONFIRMED (CP) 42.27%
138 FALSE POSITIVE 66.27%
139 CONFIRMED (CP) 97.39%
140 FALSE POSITIVE 99.91%
141 CANDIDATE (PC) 86.56%
142 CONFIRMED (CP) 97.27%
143 CONFIRMED (CP) 62.84%
144 FALSE POSITIVE 60.75%
145 CANDIDATE (PC) 37.12%
146 CONFIRMED (CP) 86.05%
147 CANDIDATE (PC) 44.86%
148 CONFIRMED (CP) 81.32%
149 CANDIDATE (PC) 87.73%
150 FALSE POSITIVE 88.15%
151 FALSE POSITIVE 47.63%
152 CONFIRMED (CP) 63.72%
153 CONFIRMED (CP) 58.17%
154 CANDIDATE (PC) 86.72%
155 CONFIRMED (CP) 50.22%
156 CONFIRMED (CP) 55.59%
157 CONFIRMED (CP) 73.35%
158 CANDIDATE (PC) 48.17%
159 CONFIRMED (CP) 98.69%
160 CANDIDATE (PC) 55.76%
161 FALSE POSITIVE 78.42%
162 FALSE POSITIVE 83.12%
163 CONFIRMED (CP) 95.08%
164 FALSE POSITIVE 92.29%
165 CANDIDATE (PC) 91.24%
166 CONFIRMED (CP) 97.66%
167 CANDIDATE (PC) 76.93%
168 CANDIDATE (PC) 55.44%
169 CANDIDATE (PC) 88.21%
170 CANDIDATE (PC) 85.26%
