RESULTADOS DEL MODELO: XGBoost
======================================================================
Accuracy General: 0.8012

Matriz de Confusión:
[[ 910  292   64]
 [ 196 1309  101]
 [  44   75  893]]

Informe de Clasificación (Precision, Recall, F1-Score):
                precision    recall  f1-score   support

FALSE POSITIVE       0.79      0.72      0.75      1266
CANDIDATE (PC)       0.78      0.82      0.80      1606
CONFIRMED (CP)       0.84      0.88      0.86      1012

      accuracy                           0.80      3884
     macro avg       0.81      0.81      0.80      3884
  weighted avg       0.80      0.80      0.80      3884

======================================================================
Predicciones individuales:

1 CONFIRMED (CP) 92.35%
2 CONFIRMED (CP) 98.38%
3 FALSE POSITIVE 99.29%
4 CANDIDATE (PC) 83.20%
5 FALSE POSITIVE 80.58%
6 CANDIDATE (PC) 83.04%
7 CANDIDATE (PC) 88.86%
8 CANDIDATE (PC) 62.61%
9 FALSE POSITIVE 72.41%
10 CANDIDATE (PC) 76.12%
11 CANDIDATE (PC) 70.74%
12 FALSE POSITIVE 99.86%
13 CANDIDATE (PC) 75.31%
14 CANDIDATE (PC) 46.03%
15 FALSE POSITIVE 98.94%
16 CANDIDATE (PC) 92.82%
17 FALSE POSITIVE 80.08%
18 CANDIDATE (PC) 64.77%
19 CONFIRMED (CP) 99.33%
20 CANDIDATE (PC) 86.72%
21 FALSE POSITIVE 72.79%
22 CANDIDATE (PC) 77.82%
23 CONFIRMED (CP) 70.76%
24 CANDIDATE (PC) 44.22%
25 CANDIDATE (PC) 99.30%
26 CONFIRMED (CP) 98.69%
27 FALSE POSITIVE 98.76%
28 CANDIDATE (PC) 47.83%
29 CANDIDATE (PC) 60.95%
30 CANDIDATE (PC) 89.19%
31 CONFIRMED (CP) 98.19%
32 FALSE POSITIVE 67.01%
33 FALSE POSITIVE 60.73%
34 FALSE POSITIVE 99.91%
35 CANDIDATE (PC) 85.71%
36 CANDIDATE (PC) 99.20%
37 CONFIRMED (CP) 96.62%
38 CANDIDATE (PC) 83.21%
39 FALSE POSITIVE 53.86%
40 CANDIDATE (PC) 97.05%
41 CONFIRMED (CP) 99.35%
42 FALSE POSITIVE 88.49%
43 CONFIRMED (CP) 91.89%
44 CANDIDATE (PC) 72.71%
45 CANDIDATE (PC) 96.47%
46 CANDIDATE (PC) 94.59%
47 CANDIDATE (PC) 95.24%
48 CANDIDATE (PC) 80.71%
49 CONFIRMED (CP) 82.61%
50 FALSE POSITIVE 76.93%
51 CONFIRMED (CP) 64.40%
52 CONFIRMED (CP) 77.44%
53 CANDIDATE (PC) 97.75%
54 FALSE POSITIVE 62.31%
55 CANDIDATE (PC) 45.59%
56 CANDIDATE (PC) 84.34%
57 FALSE POSITIVE 97.85%
58 CANDIDATE (PC) 95.29%
59 CANDIDATE (PC) 98.71%
60 CANDIDATE (PC) 88.32%
61 CONFIRMED (CP) 71.62%
62 CANDIDATE (PC) 41.42%
63 CONFIRMED (CP) 90.73%
64 CANDIDATE (PC) 86.82%
65 FALSE POSITIVE 97.23%
66 CANDIDATE (PC) 94.93%
67 CANDIDATE (PC) 80.99%
68 FALSE POSITIVE 77.80%
69 CANDIDATE (PC) 93.77%
70 CANDIDATE (PC) 95.98%
71 FALSE POSITIVE 99.17%
72 CANDIDATE (PC) 79.81%
73 FALSE POSITIVE 62.00%
74 CANDIDATE (PC) 57.60%
75 CONFIRMED (CP) 98.05%
76 FALSE POSITIVE 79.56%
77 CANDIDATE (PC) 92.53%
78 FALSE POSITIVE 89.95%
79 CONFIRMED (CP) 98.16%
80 CONFIRMED (CP) 72.64%
81 FALSE POSITIVE 99.89%
82 CONFIRMED (CP) 95.54%
83 FALSE POSITIVE 53.01%
84 FALSE POSITIVE 99.78%
85 FALSE POSITIVE 95.45%
86 CONFIRMED (CP) 94.28%
87 FALSE POSITIVE 95.77%
88 FALSE POSITIVE 55.70%
89 FALSE POSITIVE 97.72%
90 CONFIRMED (CP) 75.09%
91 FALSE POSITIVE 80.62%
92 CANDIDATE (PC) 92.91%
93 CONFIRMED (CP) 97.19%
94 FALSE POSITIVE 99.29%
95 CONFIRMED (CP) 85.64%
96 CONFIRMED (CP) 98.18%
97 CONFIRMED (CP) 97.60%
98 FALSE POSITIVE 72.51%
99 CANDIDATE (PC) 77.71%
100 CONFIRMED (CP) 47.35%
101 CONFIRMED (CP) 49.01%
102 CANDIDATE (PC) 72.36%
103 CANDIDATE (PC) 81.36%
104 FALSE POSITIVE 98.80%
105 CONFIRMED (CP) 63.25%
106 CONFIRMED (CP) 98.24%
107 CANDIDATE (PC) 63.82%
108 FALSE POSITIVE 62.10%
109 CONFIRMED (CP) 44.83%
110 CONFIRMED (CP) 96.72%
111 CONFIRMED (CP) 93.74%
112 FALSE POSITIVE 91.27%
