RESULTADOS DEL MODELO: XGBoost
======================================================================
Accuracy General: 0.7281

Matriz de Confusión:
[[ 839  323  104]
 [ 175 1232  199]
 [  55  200  757]]

Informe de Clasificación (Precision, Recall, F1-Score):
                precision    recall  f1-score   support

FALSE POSITIVE       0.78      0.66      0.72      1266
CANDIDATE (PC)       0.70      0.77      0.73      1606
CONFIRMED (CP)       0.71      0.75      0.73      1012

      accuracy                           0.73      3884
     macro avg       0.73      0.73      0.73      3884
  weighted avg       0.73      0.73      0.73      3884

======================================================================
Predicciones individuales:

1 CONFIRMED (CP) 94.70%
2 CONFIRMED (CP) 78.39%
3 FALSE POSITIVE 99.10%
4 CANDIDATE (PC) 73.60%
5 FALSE POSITIVE 60.06%
6 CANDIDATE (PC) 70.70%
7 CANDIDATE (PC) 65.54%
8 CANDIDATE (PC) 73.30%
9 FALSE POSITIVE 60.88%
10 CANDIDATE (PC) 62.87%
11 CANDIDATE (PC) 55.32%
12 FALSE POSITIVE 99.02%
13 CANDIDATE (PC) 81.16%
14 CONFIRMED (CP) 36.81%
15 FALSE POSITIVE 97.20%
16 CANDIDATE (PC) 90.11%
17 FALSE POSITIVE 72.37%
18 CANDIDATE (PC) 65.52%
19 CONFIRMED (CP) 82.04%
20 CANDIDATE (PC) 45.54%
21 FALSE POSITIVE 80.77%
22 CANDIDATE (PC) 69.57%
23 CONFIRMED (CP) 63.85%
24 CANDIDATE (PC) 58.49%
25 CANDIDATE (PC) 95.89%
26 CONFIRMED (CP) 57.54%
27 FALSE POSITIVE 99.05%
28 CONFIRMED (CP) 44.18%
29 CONFIRMED (CP) 42.67%
30 CANDIDATE (PC) 73.13%
31 CANDIDATE (PC) 54.20%
32 FALSE POSITIVE 60.18%
33 CANDIDATE (PC) 49.58%
34 FALSE POSITIVE 99.14%
35 CANDIDATE (PC) 77.61%
36 CANDIDATE (PC) 73.52%
37 CONFIRMED (CP) 49.79%
38 CANDIDATE (PC) 82.33%
39 FALSE POSITIVE 65.74%
40 CANDIDATE (PC) 72.04%
41 CONFIRMED (CP) 84.78%
42 FALSE POSITIVE 92.80%
43 CONFIRMED (CP) 94.10%
44 CANDIDATE (PC) 50.75%
45 CANDIDATE (PC) 87.35%
46 CANDIDATE (PC) 87.22%
47 CANDIDATE (PC) 51.76%
48 CANDIDATE (PC) 85.13%
49 CONFIRMED (CP) 70.31%
50 FALSE POSITIVE 62.41%
51 CONFIRMED (CP) 62.39%
52 CONFIRMED (CP) 90.51%
53 FALSE POSITIVE 53.48%
54 CANDIDATE (PC) 47.63%
55 CANDIDATE (PC) 64.73%
56 CANDIDATE (PC) 79.07%
57 FALSE POSITIVE 97.59%
58 CANDIDATE (PC) 86.70%
59 CANDIDATE (PC) 67.97%
60 CANDIDATE (PC) 87.97%
