RESULTADOS DEL MODELO: NN Custom (complex_data)
======================================================================
Accuracy General: 0.7415

Matriz de Confusión:
[[ 862  334   70]
 [ 255 1185  166]
 [  77  102  833]]

Informe de Clasificación (Precision, Recall, F1-Score):
                precision    recall  f1-score   support

FALSE POSITIVE       0.72      0.68      0.70      1266
CANDIDATE (PC)       0.73      0.74      0.73      1606
CONFIRMED (CP)       0.78      0.82      0.80      1012

      accuracy                           0.74      3884
     macro avg       0.74      0.75      0.75      3884
  weighted avg       0.74      0.74      0.74      3884

======================================================================
Predicciones individuales:

1 CONFIRMED (CP) 59.59%
2 CONFIRMED (CP) 97.34%
3 FALSE POSITIVE 97.18%
4 CANDIDATE (PC) 83.77%
5 FALSE POSITIVE 61.01%
6 CANDIDATE (PC) 53.05%
7 CANDIDATE (PC) 79.51%
8 FALSE POSITIVE 59.07%
9 FALSE POSITIVE 62.56%
10 FALSE POSITIVE 41.38%
11 FALSE POSITIVE 38.72%
12 FALSE POSITIVE 100.00%
13 CANDIDATE (PC) 58.94%
14 CONFIRMED (CP) 45.90%
15 FALSE POSITIVE 95.63%
16 CANDIDATE (PC) 87.62%
17 FALSE POSITIVE 50.76%
18 FALSE POSITIVE 63.76%
19 CONFIRMED (CP) 98.38%
20 CANDIDATE (PC) 74.65%
21 FALSE POSITIVE 47.75%
22 CANDIDATE (PC) 67.15%
23 CONFIRMED (CP) 44.20%
24 CANDIDATE (PC) 49.16%
25 CANDIDATE (PC) 92.42%
26 CONFIRMED (CP) 94.91%
27 FALSE POSITIVE 93.03%
28 CANDIDATE (PC) 58.08%
29 CANDIDATE (PC) 62.57%
30 CANDIDATE (PC) 91.04%
31 CONFIRMED (CP) 95.95%
32 FALSE POSITIVE 59.19%
33 CANDIDATE (PC) 57.93%
34 FALSE POSITIVE 100.00%
35 CANDIDATE (PC) 77.52%
36 CANDIDATE (PC) 82.11%
37 CONFIRMED (CP) 95.96%
38 CANDIDATE (PC) 67.78%
39 FALSE POSITIVE 49.50%
40 CANDIDATE (PC) 56.78%
41 CONFIRMED (CP) 99.69%
42 FALSE POSITIVE 83.23%
43 CONFIRMED (CP) 80.18%
44 CANDIDATE (PC) 76.02%
45 CANDIDATE (PC) 77.64%
46 CANDIDATE (PC) 89.68%
47 FALSE POSITIVE 60.84%
48 CANDIDATE (PC) 71.01%
49 CONFIRMED (CP) 43.08%
50 FALSE POSITIVE 61.95%
51 CONFIRMED (CP) 41.44%
52 CANDIDATE (PC) 48.07%
53 CANDIDATE (PC) 69.12%
54 CANDIDATE (PC) 61.26%
55 CONFIRMED (CP) 67.62%
