RESULTADOS DEL MODELO: NN Custom (simple_data)
======================================================================
Accuracy General: 0.6841

Matriz de Confusión:
[[ 782  387   97]
 [ 168 1232  206]
 [ 112  257  643]]

Informe de Clasificación (Precision, Recall, F1-Score):
                precision    recall  f1-score   support

FALSE POSITIVE       0.74      0.62      0.67      1266
CANDIDATE (PC)       0.66      0.77      0.71      1606
CONFIRMED (CP)       0.68      0.64      0.66      1012

      accuracy                           0.68      3884
     macro avg       0.69      0.67      0.68      3884
  weighted avg       0.69      0.68      0.68      3884

======================================================================
Predicciones individuales:

1 CONFIRMED (CP) 90.08%
2 CONFIRMED (CP) 73.64%
3 FALSE POSITIVE 97.19%
4 CANDIDATE (PC) 56.05%
5 FALSE POSITIVE 44.12%
6 CANDIDATE (PC) 77.40%
7 CANDIDATE (PC) 71.93%
8 CANDIDATE (PC) 73.80%
9 FALSE POSITIVE 57.97%
10 FALSE POSITIVE 37.46%
11 FALSE POSITIVE 52.31%
12 FALSE POSITIVE 96.61%
13 CANDIDATE (PC) 74.76%
14 FALSE POSITIVE 47.37%
15 FALSE POSITIVE 97.13%
16 CANDIDATE (PC) 75.10%
17 FALSE POSITIVE 60.30%
18 FALSE POSITIVE 62.55%
19 CONFIRMED (CP) 89.67%
20 CONFIRMED (CP) 44.36%
21 FALSE POSITIVE 60.25%
22 CANDIDATE (PC) 58.87%
23 FALSE POSITIVE 38.44%
24 CONFIRMED (CP) 46.06%
25 CANDIDATE (PC) 81.73%
26 CONFIRMED (CP) 72.81%
27 FALSE POSITIVE 97.07%
28 CONFIRMED (CP) 36.85%
29 CANDIDATE (PC) 50.66%
30 CANDIDATE (PC) 67.52%
31 CANDIDATE (PC) 54.72%
32 FALSE POSITIVE 63.58%
33 CANDIDATE (PC) 66.28%
34 FALSE POSITIVE 97.67%
35 CANDIDATE (PC) 77.40%
36 CANDIDATE (PC) 78.15%
37 CANDIDATE (PC) 44.19%
38 CANDIDATE (PC) 72.83%
39 FALSE POSITIVE 61.86%
40 CONFIRMED (CP) 39.92%
41 CONFIRMED (CP) 88.09%
42 FALSE POSITIVE 85.59%
43 CONFIRMED (CP) 91.11%
44 CANDIDATE (PC) 73.72%
45 CANDIDATE (PC) 73.17%
46 CANDIDATE (PC) 72.29%
47 CONFIRMED (CP) 58.66%
48 CANDIDATE (PC) 74.26%
49 CONFIRMED (CP) 44.33%
50 FALSE POSITIVE 55.10%
